W_M5,L_M5,Cm_f,WL_um2,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
2.0,50,500,100.0,5,15.0,0.01,2,1.614,0.618,0.997,OK
2.0,50,500,100.0,8,24.1,0.00,3,1.615,0.618,0.997,OK
2.0,50,500,100.0,12,36.1,0.01,6,1.615,0.618,0.997,OK
2.0,50,500,100.0,16,48.0,0.00,8,1.615,0.618,0.997,OK
2.0,50,500,100.0,20,60.0,0.01,10,1.616,0.618,0.998,OK
2.0,50,500,100.0,25,74.9,0.01,13,1.616,0.618,0.998,OK
2.0,50,500,100.0,30,89.9,0.01,16,1.616,0.618,0.998,OK
2.0,41,350,82.0,4,14.5,0.00,1,1.646,0.493,1.153,NO_OSCILA
2.0,41,350,82.0,7,25.3,0.03,4,1.647,0.493,1.153,OK
