W_M5,L_M5,Cm_f,WL_um2,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
0.5,41,150,20.5,5,82.60,0.29,11,1.587,0.879,0.708,OK
0.5,41,150,20.5,10,164.63,0.26,23,1.588,0.879,0.709,OK
